Step,KineticEnergy
12530,1.79565
12540,1.79043
12550,1.78535
12560,1.78028
12570,1.7741
12580,1.76652
12590,1.75787
12600,1.74895
12610,1.7405
12620,1.73298
12630,1.72687
12640,1.72321
12650,1.72254
12660,1.72482
12670,1.72995
12680,1.73768
12690,1.74767
12700,1.75908
12710,1.77032
12720,1.77974
12730,1.78639
12740,1.78989
12750,1.79172
12760,1.79241
12770,1.79102
12780,1.78751
12790,1.78224
12800,1.77516
12810,1.76634
12820,1.75618
12830,1.74505
12840,1.73348
12850,1.72202
12860,1.71109
12870,1.70157
12880,1.6944
12890,1.69006
12900,1.68851
12910,1.69012
12920,1.69544
12930,1.70378
12940,1.71288
12950,1.72179
12960,1.73015
12970,1.73745
12980,1.74374
12990,1.74881
13000,1.75248
13010,1.75429
13020,1.75425
13030,1.75223
13040,1.74856
13050,1.74394
13060,1.73896
13070,1.73384
13080,1.7289
13090,1.72419
13100,1.71992
13110,1.71576
13120,1.7114
13130,1.70701
13140,1.70322
13150,1.69971
13160,1.69635
13170,1.69342
13180,1.69122
13190,1.69069
13200,1.69146
13210,1.69269
13220,1.6941
13230,1.69529
13240,1.69619
13250,1.69712
13260,1.69851
13270,1.70042
13280,1.70302
13290,1.70649
13300,1.71104
13310,1.71614
13320,1.72221
13330,1.72973
13340,1.73917
13350,1.75128
13360,1.76627
13370,1.7836
13380,1.80143
13390,1.81754
13400,1.83043
13410,1.83955
13420,1.84438
13430,1.8448
13440,1.84077
13450,1.83271
13460,1.82113
13470,1.80675
13480,1.78939
13490,1.76839
13500,1.74451
13510,1.71956
13520,1.69577
13530,1.67514
13540,1.65951
13550,1.65027
13560,1.64771
13570,1.65164
13580,1.66127
13590,1.67565
13600,1.69292
13610,1.71117
13620,1.72868
13630,1.74427
13640,1.75756
13650,1.76783
13660,1.77494
13670,1.77924
13680,1.78135
13690,1.78183
13700,1.78087
13710,1.77905
13720,1.77675
13730,1.77466
13740,1.77345
13750,1.77373
13760,1.77551
13770,1.77801
13780,1.78104
13790,1.78424
13800,1.78686
13810,1.78789
13820,1.78726
13830,1.78541
13840,1.78272
13850,1.77954
13860,1.77634
13870,1.77333
13880,1.77079
13890,1.76886
13900,1.76777
13910,1.76766
13920,1.76897
13930,1.77134
13940,1.77336
13950,1.77425
13960,1.77368
13970,1.77153
13980,1.7675
13990,1.76142
14000,1.75228
14010,1.7404
14020,1.72653
14030,1.71112
14040,1.69512
14050,1.68008
14060,1.66707
14070,1.65696
14080,1.65021
14090,1.64693
14100,1.64698
14110,1.64955
14120,1.65358
14130,1.65826
14140,1.66387
14150,1.67111
14160,1.68047
14170,1.69265
14180,1.7072
14190,1.7227
14200,1.73837
14210,1.75264
14220,1.7633
14230,1.76902
14240,1.76974
14250,1.76573
14260,1.75773
14270,1.74644
14280,1.73284
14290,1.71864
14300,1.70318
14310,1.68831
14320,1.67579
14330,1.66522
14340,1.65633
14350,1.64962
14360,1.6453
14370,1.64334
14380,1.64329
14390,1.6451
14400,1.64902
14410,1.65463
14420,1.66079
14430,1.66661
14440,1.67215
14450,1.67735
14460,1.68178
14470,1.68508
14480,1.6876
14490,1.68934
14500,1.69034
14510,1.69037
14520,1.68903
14530,1.68622
14540,1.68235
14550,1.67816
14560,1.67386
14570,1.66965
14580,1.66555
14590,1.66133
14600,1.65692
14610,1.6523
14620,1.6477
14630,1.64363
14640,1.64053
14650,1.63879
14660,1.63802
14670,1.63875
14680,1.64008
14690,1.64145
14700,1.64151
14710,1.63929
14720,1.63515
14730,1.62987
14740,1.62417
14750,1.61884
14760,1.61429
14770,1.61062
14780,1.60705
14790,1.60311
14800,1.59867
14810,1.59383
14820,1.58842
14830,1.58179
14840,1.57392
14850,1.565
14860,1.55606
14870,1.54803
14880,1.54121
14890,1.53553
14900,1.53136
14910,1.52926
14920,1.52958
14930,1.53272
14940,1.53888
14950,1.54816
14960,1.56031
14970,1.57401
14980,1.58768
14990,1.60012
15000,1.61092
15010,1.61974
15020,1.62657
15030,1.63149
15040,1.63472
15050,1.63619
15060,1.63601
15070,1.63445
15080,1.63187
15090,1.62819
15100,1.62411
15110,1.62008
15120,1.61586
15130,1.61082
15140,1.605
15150,1.59883
15160,1.59318
15170,1.58901
15180,1.58757
15190,1.58937
15200,1.59501
15210,1.60431
15220,1.61597
15230,1.62891
15240,1.64217
15250,1.65497
15260,1.66617
15270,1.67477
15280,1.67985
15290,1.68059
15300,1.67596
15310,1.66628
15320,1.65253
15330,1.63557
15340,1.61661
15350,1.59729
15360,1.57955
15370,1.56386
15380,1.55074
15390,1.54042
15400,1.53289
15410,1.52832
15420,1.52641
15430,1.52666
15440,1.5288
15450,1.53244
15460,1.53726
15470,1.54311
15480,1.54994
15490,1.55747
15500,1.56528
15510,1.57279
15520,1.57877
15530,1.58259
15540,1.58416
15550,1.58359
15560,1.58071
15570,1.5756
15580,1.56895
15590,1.56202
15600,1.5556
15610,1.54993
15620,1.5448
15630,1.53963
15640,1.53427
15650,1.5277
15660,1.51981
15670,1.51125
15680,1.50307
15690,1.49678
15700,1.49244
15710,1.49032
15720,1.49092
15730,1.49394
15740,1.49861
15750,1.50414
15760,1.50983
15770,1.51508
15780,1.51931
15790,1.52222
15800,1.52364
15810,1.52355
15820,1.52177
15830,1.51855
15840,1.51455
15850,1.50971
15860,1.50423
15870,1.49923
15880,1.49608
15890,1.4944
15900,1.49344
15910,1.49337
15920,1.49449
15930,1.49671
15940,1.49958
15950,1.50324
15960,1.50766
15970,1.51258
15980,1.51771
15990,1.52228
16000,1.5256
16010,1.52726
16020,1.52688
16030,1.52447
16040,1.52001
16050,1.51418
16060,1.50753
16070,1.50045
16080,1.49307
16090,1.48527
16100,1.47759
16110,1.47056
16120,1.46456
16130,1.45983
16140,1.45639
16150,1.454
16160,1.45227
16170,1.45127
16180,1.45097
16190,1.45115
16200,1.45129
16210,1.45071
16220,1.44896
16230,1.4463
16240,1.44333
16250,1.44054
16260,1.4384
16270,1.43729
16280,1.43755
16290,1.43908
16300,1.44197
16310,1.44632
16320,1.4521
16330,1.45871
16340,1.46547
16350,1.47209
16360,1.47834
16370,1.48358
16380,1.48701
16390,1.48802
16400,1.48648
16410,1.48317
16420,1.47832
16430,1.47224
16440,1.46566
16450,1.45896
16460,1.45278
16470,1.44741
16480,1.44244
16490,1.43778
16500,1.43363
16510,1.43017
16520,1.42739
16530,1.42526
16540,1.42359
16550,1.42241
16560,1.4218
16570,1.4221
16580,1.42344
16590,1.42522
16600,1.42692
16610,1.42831
16620,1.42916
16630,1.42945
16640,1.42924
16650,1.42823
16660,1.42639
16670,1.42373
16680,1.42003
16690,1.41506
16700,1.40897
16710,1.40231
16720,1.39525
16730,1.38792
16740,1.38052
16750,1.37345
16760,1.36723
16770,1.36188
16780,1.35797
16790,1.35601
16800,1.3564
16810,1.35904
16820,1.36367
16830,1.36958
16840,1.37594
16850,1.38225
16860,1.3883
16870,1.39401
16880,1.39944
16890,1.40448
16900,1.40899
16910,1.41298
16920,1.41649
16930,1.41882
16940,1.41976
16950,1.41936
16960,1.41779
16970,1.41483
16980,1.41021
16990,1.40387
17000,1.39655
17010,1.38911
17020,1.38248
17030,1.37712
17040,1.37298
17050,1.36997
17060,1.36789
17070,1.36663
17080,1.36613
17090,1.36658
17100,1.36798
17110,1.37031
17120,1.3731
17130,1.37572
17140,1.378
17150,1.38001
17160,1.38211
17170,1.38407
17180,1.38567
17190,1.38683
17200,1.38739
17210,1.38722
17220,1.38657
17230,1.38591
17240,1.38527
17250,1.38499
17260,1.38496
17270,1.38506
17280,1.38505
17290,1.38454
17300,1.38287
17310,1.37987
17320,1.37498
17330,1.36853
17340,1.36103
17350,1.35259
17360,1.34345
17370,1.33445
17380,1.32659
17390,1.32041
17400,1.3165
17410,1.31543
17420,1.31716
17430,1.3214
17440,1.32785
17450,1.33569
17460,1.34358
17470,1.3502
17480,1.35467
17490,1.35663
