x,y
3.61027,-2.24505
3.1908,-1.72604
3.74846,-1.54353
2.87669,-0.997419
3.46857,-0.876102
4.4339,-0.772815
3.84439,-0.641056
4.36596,-0.96417
4.49242,-0.680743
4.33705,-0.489266
4.52944,-1.16947
4.80874,-0.787426
4.83338,-0.729183
-4.67588,-0.607633
-4.51512,-0.764039
-4.33552,-0.916232
-4.35504,-0.597119
-4.39086,-0.726152
-4.25355,-0.799827
-4.47832,-0.511832
-4.19628,-0.930369
-3.839,-0.931716
-3.96939,-1.04798
-3.70992,-1.2348
-2.01937,-2.34982
-3.0762,-1.66813
-2.4323,-2.05201
-1.40733,-2.44836
-0.910726,-2.79804
-0.836293,-2.28133
-1.21548,-2.53479
-2.15833,-2.06625
-0.490376,-3.14338
0.658207,-3.22791
0.714849,-3.04344
1.29749,-3.27214
1.1208,-3.12819
1.29757,-2.89384
2.59861,-2.63397
3.05771,-1.62157
3.24107,-1.99187
3.3736,-1.06439
3.86437,-1.58711
4.50619,-0.309891
3.37581,-0.410366
4.46527,-1.01833
4.50293,-0.91549
4.06354,-0.93019
4.39508,-0.864472
4.65247,-0.860164
4.73509,-0.663484
4.86089,-0.664162
4.88933,-0.596941
-4.69741,-0.536917
-4.71496,-0.479256
-4.55033,-0.65383
-4.555,-0.227654
-4.47959,-0.837391
-4.39014,-0.407335
-4.27948,-0.696624
-4.28982,-0.979024
-3.27859,-0.0170908
-4.12275,-0.994835
-3.13241,-1.3398
-3.31532,-1.29176
-2.68033,-1.57733
-2.93608,-1.8213
-2.11682,-2.47267
-1.47823,-2.59589
-1.90672,-2.53591
0.604266,-3.0142
-0.238394,-3.01512
0.0980758,-3.32442
0.220475,-0.510732
0.94431,-3.17661
1.44684,-3.22183
2.29156,-2.68898
1.16806,-3.03336
3.31691,-1.87861
2.67547,-2.35635
2.69467,-2.13246
3.51804,-1.2432
4.13535,-0.933157
4.25547,-0.96833
3.74448,-0.751915
3.95679,-0.804747
4.26019,-0.827964
4.64615,-0.61152
4.81454,-0.489411
4.70096,-0.753827
4.77304,-0.572525
4.92025,-0.523866
-4.7377,-0.404536
-4.58541,-0.547645
-4.37081,-0.497116
-4.46382,-0.10486
-4.29192,-0.335509
-4.44304,-0.623509
-3.22113,-0.926213
-3.4207,-0.534173
-3.85991,-0.690033
-3.64566,-0.775459
-2.67939,-1.7592
-2.67715,-1.33785
-4.01806,-0.428965
-1.09506,-2.20604
-3.1102,-2.12922
-0.315744,-2.832
0.526517,-2.05186
-1.48471,-3.15719
0.270275,-2.97533
0.73774,-2.70036
0.623098,-3.5651
1.31058,-3.39568
1.47822,-2.54073
1.85939,-0.732801
2.04429,-2.29627
1.81092,-2.34009
2.66458,-1.95974
2.91284,-1.40418
3.56741,-1.87947
3.85725,-0.320685
4.0003,0.023371
4.24014,-0.0438097
4.33875,-0.627676
4.34143,-0.38223
4.73344,-0.386286
4.59396,-0.71643
4.98411,-0.274067
4.85779,-0.392597
4.95771,-0.435335
-4.76535,-0.313675
-4.62165,-0.424455
-4.51232,-0.4161
-4.24086,-0.410149
-4.13384,-0.354599
-3.92865,-0.571567
-3.53455,-0.682712
-3.75858,-0.845026
-3.11545,-0.62558
-4.19304,-0.663057
-3.69133,-1.04629
-3.85246,-1.089
-2.23325,-2.49587
-1.8629,-2.10228
-2.9973,-2.19831
-0.534727,-1.57694
-0.584285,-2.89883
-0.7984,-2.61144
1.32679,-2.72566
0.44084,-2.77728
0.428718,-3.43189
0.263052,-3.41157
0.800386,-1.13886
2.38495,-2.39052
